,n,train_pearson,val_pearson,train_spearman,val_spearman
full_average_branching_factor,171,,,,
full_colless_index,171,,,,
full_sackin_index,171,0.0015439037440383731,0.007240637867380157,0.06472215537952707,0.05708339849669553
full_average_sackin_index,171,0.0015439037440383731,0.007240637867380157,0.06472215537952707,0.05708339849669553
full_total_volume,171,4.301838609776539e-18,-1.6287526010065744e-17,0.0,0.0
full_missing_colless_frac,171,,,,
mnist_average_branching_factor,171,,,,
mnist_colless_index,171,,,,
mnist_sackin_index,171,0.0015439037440383731,0.007240637867380157,0.06472215537952707,0.05708339849669553
mnist_average_sackin_index,171,0.0015439037440383731,0.007240637867380157,0.06472215537952707,0.05708339849669553
mnist_total_volume,171,4.301838609776539e-18,-1.6287526010065744e-17,0.0,0.0
mnist_missing_colless_frac,171,,,,
resnet_a_average_branching_factor,57,,,,
resnet_a_colless_index,57,,,,
resnet_a_sackin_index,57,-0.03323272968372184,-0.030443038788966814,-0.048867582090454956,-0.08638360365505912
resnet_a_average_sackin_index,57,-0.03323272968372184,-0.030443038788966814,-0.048867582090454956,-0.08638360365505912
resnet_a_total_volume,57,-2.2228024660924707e-17,-9.729424068016123e-18,0.0,0.0
resnet_a_missing_colless_frac,57,,,,
resnet_b_average_branching_factor,57,,,,
resnet_b_colless_index,57,,,,
resnet_b_sackin_index,57,0.054694744504005154,0.06189752634528185,0.10143430386106388,0.09364664137652923
resnet_b_average_sackin_index,57,0.054694744504005154,0.06189752634528185,0.10143430386106388,0.09364664137652923
resnet_b_total_volume,57,-4.266252559407425e-17,-7.141098805705444e-18,0.0,0.0
resnet_b_missing_colless_frac,57,,,,
resnet_c_average_branching_factor,57,,,,
resnet_c_colless_index,57,,,,
resnet_c_sackin_index,57,-0.017790826685890465,-0.006819493345772521,0.13287914437385098,0.13790435729531988
resnet_c_average_sackin_index,57,-0.017790826685890465,-0.006819493345772521,0.13287914437385098,0.13790435729531988
resnet_c_total_volume,57,-2.0069997260525565e-17,-5.450897118821827e-18,0.0,0.0
resnet_c_missing_colless_frac,57,,,,
mnist_resnet_a_average_branching_factor,57,,,,
mnist_resnet_a_colless_index,57,,,,
mnist_resnet_a_sackin_index,57,-0.03323272968372184,-0.030443038788966814,-0.048867582090454956,-0.08638360365505912
mnist_resnet_a_average_sackin_index,57,-0.03323272968372184,-0.030443038788966814,-0.048867582090454956,-0.08638360365505912
mnist_resnet_a_total_volume,57,-2.2228024660924707e-17,-9.729424068016123e-18,0.0,0.0
mnist_resnet_a_missing_colless_frac,57,,,,
mnist_resnet_b_average_branching_factor,57,,,,
mnist_resnet_b_colless_index,57,,,,
mnist_resnet_b_sackin_index,57,0.054694744504005154,0.06189752634528185,0.10143430386106388,0.09364664137652923
mnist_resnet_b_average_sackin_index,57,0.054694744504005154,0.06189752634528185,0.10143430386106388,0.09364664137652923
mnist_resnet_b_total_volume,57,-4.266252559407425e-17,-7.141098805705444e-18,0.0,0.0
mnist_resnet_b_missing_colless_frac,57,,,,
mnist_resnet_c_average_branching_factor,57,,,,
mnist_resnet_c_colless_index,57,,,,
mnist_resnet_c_sackin_index,57,-0.017790826685890465,-0.006819493345772521,0.13287914437385098,0.13790435729531988
mnist_resnet_c_average_sackin_index,57,-0.017790826685890465,-0.006819493345772521,0.13287914437385098,0.13790435729531988
mnist_resnet_c_total_volume,57,-2.0069997260525565e-17,-5.450897118821827e-18,0.0,0.0
mnist_resnet_c_missing_colless_frac,57,,,,
