,n,train_pearson,val_pearson,train_spearman,val_spearman
full_average_branching_factor,19,0.8616002373632824,0.8902411648215528,0.8678086036713438,0.7417655524296051
full_colless_index,19,0.8336745731563279,0.8558170471567317,0.6769098306856827,0.8050924964186396
full_sackin_index,19,0.6923790762140711,0.7448286305877582,0.9727835180281925,0.9280073813680502
full_average_sackin_index,19,0.5542053787172435,0.6280958698453134,0.8059704598825639,0.6575946344793467
full_total_volume,19,,,,
full_missing_colless_frac,19,-0.5800809860596605,-0.5320968974557814,0.4655248582447492,0.3210364824310487
mnist_average_branching_factor,19,0.8616002373632824,0.8902411648215528,0.8678086036713438,0.7417655524296051
mnist_colless_index,19,0.8336745731563279,0.8558170471567317,0.6769098306856827,0.8050924964186396
mnist_sackin_index,19,0.6923790762140711,0.7448286305877582,0.9727835180281925,0.9280073813680502
mnist_average_sackin_index,19,0.5542053787172435,0.6280958698453134,0.8059704598825639,0.6575946344793467
mnist_total_volume,19,,,,
mnist_missing_colless_frac,19,-0.5800809860596605,-0.5320968974557814,0.4655248582447492,0.3210364824310487
resnet_average_branching_factor,19,0.8616002373632824,0.8902411648215528,0.8678086036713438,0.7417655524296051
resnet_colless_index,19,0.8336745731563279,0.8558170471567317,0.6769098306856827,0.8050924964186396
resnet_sackin_index,19,0.6923790762140711,0.7448286305877582,0.9727835180281925,0.9280073813680502
resnet_average_sackin_index,19,0.5542053787172435,0.6280958698453134,0.8059704598825639,0.6575946344793467
resnet_total_volume,19,,,,
resnet_missing_colless_frac,19,-0.5800809860596605,-0.5320968974557814,0.4655248582447492,0.3210364824310487
mnist_resnet_average_branching_factor,19,0.8616002373632824,0.8902411648215528,0.8678086036713438,0.7417655524296051
mnist_resnet_colless_index,19,0.8336745731563279,0.8558170471567317,0.6769098306856827,0.8050924964186396
mnist_resnet_sackin_index,19,0.6923790762140711,0.7448286305877582,0.9727835180281925,0.9280073813680502
mnist_resnet_average_sackin_index,19,0.5542053787172435,0.6280958698453134,0.8059704598825639,0.6575946344793467
mnist_resnet_total_volume,19,,,,
mnist_resnet_missing_colless_frac,19,-0.5800809860596605,-0.5320968974557814,0.4655248582447492,0.3210364824310487
