,n,train_pearson,val_pearson,train_spearman,val_spearman
full_average_branching_factor,38,0.3229246578459976,0.41971944441319486,0.805041792012419,0.7184663746846474
full_colless_index,38,0.5642909860949171,0.8015178195769319,0.8616142283761191,0.9042954869899493
full_sackin_index,38,0.5925991794202937,0.7794348204520287,0.9162836561759571,0.9220836124374316
full_average_sackin_index,38,0.5515865434242794,0.8930266435348643,0.749507555374314,0.8273145157876789
full_total_volume,38,0.4421899383646654,0.8358478619382382,0.7032164273276158,0.8664202398132057
full_missing_colless_frac,38,-0.2897472688199144,-0.4297632296719652,-0.6293336917433981,-0.7227670985934752
cifar_average_branching_factor,19,0.10504623703250153,0.023703425414657194,0.5224720300662242,0.4960400555266176
cifar_colless_index,19,0.22620674486047332,0.15263846397723507,0.5607723225231914,0.5291795156204764
cifar_sackin_index,19,0.39337292244792815,0.33050682506981943,0.5807017543859649,0.5596491228070175
cifar_average_sackin_index,19,0.5529084072707687,0.6214079987663768,-0.09824561403508772,-0.042105263157894736
cifar_total_volume,19,,,,
cifar_missing_colless_frac,19,-0.060438644792562446,0.032948848348799936,-0.5359940938256543,-0.5183336623981204
mnist_average_branching_factor,19,0.8616002373632828,0.8902411648215526,0.8678086036713438,0.7417655524296051
mnist_colless_index,19,0.8336745731563279,0.8558170471567317,0.6769098306856827,0.8050924964186396
mnist_sackin_index,19,0.6923790762140715,0.7448286305877584,0.9727835180281925,0.9280073813680502
mnist_average_sackin_index,19,0.5542053787172437,0.6280958698453136,0.8059704598825639,0.6575946344793467
mnist_total_volume,19,,,,
mnist_missing_colless_frac,19,-0.5800809860596605,-0.5320968974557814,0.4655248582447492,0.3210364824310487
resnet_average_branching_factor,38,0.3229246578459976,0.41971944441319486,0.805041792012419,0.7184663746846474
resnet_colless_index,38,0.5642909860949171,0.8015178195769319,0.8616142283761191,0.9042954869899493
resnet_sackin_index,38,0.5925991794202937,0.7794348204520287,0.9162836561759571,0.9220836124374316
resnet_average_sackin_index,38,0.5515865434242794,0.8930266435348643,0.749507555374314,0.8273145157876789
resnet_total_volume,38,0.4421899383646654,0.8358478619382382,0.7032164273276158,0.8664202398132057
resnet_missing_colless_frac,38,-0.2897472688199144,-0.4297632296719652,-0.6293336917433981,-0.7227670985934752
cifar_resnet_average_branching_factor,19,0.10504623703250153,0.023703425414657194,0.5224720300662242,0.4960400555266176
cifar_resnet_colless_index,19,0.22620674486047332,0.15263846397723507,0.5607723225231914,0.5291795156204764
cifar_resnet_sackin_index,19,0.39337292244792815,0.33050682506981943,0.5807017543859649,0.5596491228070175
cifar_resnet_average_sackin_index,19,0.5529084072707687,0.6214079987663768,-0.09824561403508772,-0.042105263157894736
cifar_resnet_total_volume,19,,,,
cifar_resnet_missing_colless_frac,19,-0.060438644792562446,0.032948848348799936,-0.5359940938256543,-0.5183336623981204
mnist_resnet_average_branching_factor,19,0.8616002373632828,0.8902411648215526,0.8678086036713438,0.7417655524296051
mnist_resnet_colless_index,19,0.8336745731563279,0.8558170471567317,0.6769098306856827,0.8050924964186396
mnist_resnet_sackin_index,19,0.6923790762140715,0.7448286305877584,0.9727835180281925,0.9280073813680502
mnist_resnet_average_sackin_index,19,0.5542053787172437,0.6280958698453136,0.8059704598825639,0.6575946344793467
mnist_resnet_total_volume,19,,,,
mnist_resnet_missing_colless_frac,19,-0.5800809860596605,-0.5320968974557814,0.4655248582447492,0.3210364824310487
