,n,train_pearson,val_pearson,train_spearman,val_spearman
full_average_branching_factor,57,-0.5628236663318544,-0.5368141072077112,0.04287254419908972,-0.007112944833030795
full_colless_index,57,-0.7853388788106814,-0.7658943431126224,0.035854712737893396,0.013445517276710027
full_sackin_index,57,-0.7390285461736409,-0.7231526280155134,-0.2914169722799978,-0.29492449852609604
full_average_sackin_index,57,-0.5435623817176023,-0.5463844032974136,-0.44633271481600456,-0.45198372932360736
full_total_volume,57,-8.658837463112262e-18,-2.3940015025369848e-17,0.0,0.0
full_missing_colless_frac,57,-0.39038280826347593,-0.3662696505822964,0.0329810242806544,-0.04335762423896959
mnist_average_branching_factor,57,-0.5628236663318544,-0.5368141072077112,0.04287254419908972,-0.007112944833030795
mnist_colless_index,57,-0.7853388788106814,-0.7658943431126224,0.035854712737893396,0.013445517276710027
mnist_sackin_index,57,-0.7390285461736409,-0.7231526280155134,-0.2914169722799978,-0.29492449852609604
mnist_average_sackin_index,57,-0.5435623817176023,-0.5463844032974136,-0.44633271481600456,-0.45198372932360736
mnist_total_volume,57,-8.658837463112262e-18,-2.3940015025369848e-17,0.0,0.0
mnist_missing_colless_frac,57,-0.39038280826347593,-0.3662696505822964,0.0329810242806544,-0.04335762423896959
resnet_average_branching_factor,57,-0.5628236663318544,-0.5368141072077112,0.04287254419908972,-0.007112944833030795
resnet_colless_index,57,-0.7853388788106814,-0.7658943431126224,0.035854712737893396,0.013445517276710027
resnet_sackin_index,57,-0.7390285461736409,-0.7231526280155134,-0.2914169722799978,-0.29492449852609604
resnet_average_sackin_index,57,-0.5435623817176023,-0.5463844032974136,-0.44633271481600456,-0.45198372932360736
resnet_total_volume,57,-8.658837463112262e-18,-2.3940015025369848e-17,0.0,0.0
resnet_missing_colless_frac,57,-0.39038280826347593,-0.3662696505822964,0.0329810242806544,-0.04335762423896959
mnist_resnet_average_branching_factor,57,-0.5628236663318544,-0.5368141072077112,0.04287254419908972,-0.007112944833030795
mnist_resnet_colless_index,57,-0.7853388788106814,-0.7658943431126224,0.035854712737893396,0.013445517276710027
mnist_resnet_sackin_index,57,-0.7390285461736409,-0.7231526280155134,-0.2914169722799978,-0.29492449852609604
mnist_resnet_average_sackin_index,57,-0.5435623817176023,-0.5463844032974136,-0.44633271481600456,-0.45198372932360736
mnist_resnet_total_volume,57,-8.658837463112262e-18,-2.3940015025369848e-17,0.0,0.0
mnist_resnet_missing_colless_frac,57,-0.39038280826347593,-0.3662696505822964,0.0329810242806544,-0.04335762423896959
